MSOA21CD,MSOA21NM,low_rating_pct,restaurant_count,Gi_z,Gi_p,Gi_class
E02000032,Barnet 009,9.52,21,0.07906191734940589,0.426,Not Significant
E02000033,Barnet 010,10.0,20,0.2649223116825088,0.248,Not Significant
E02000034,Barnet 011,0.0,18,-0.06660161130734175,0.352,Not Significant
E02000035,Barnet 012,0.0,23,-0.5535922876746462,0.15,Not Significant
E02000036,Barnet 013,7.69,26,-0.35384702858842326,0.152,Not Significant
E02000037,Barnet 014,0.0,11,-0.4053777339976404,0.305,Not Significant
E02000038,Barnet 015,9.09,44,-0.07531153959079465,0.423,Not Significant
E02000039,Barnet 016,3.92,51,-0.3097142957379551,0.296,Not Significant
E02000040,Barnet 017,0.0,21,-0.5980821640279504,0.162,Not Significant
E02000041,Barnet 018,5.68,88,-0.037920801436723335,0.475,Not Significant
E02000042,Barnet 019,9.57,94,-0.4183879616009576,0.065,Not Significant
E02000043,Barnet 020,0.0,7,-0.37990392700963266,0.292,Not Significant
E02000044,Barnet 021,5.88,17,0.712955191669012,0.034,Hot Spot
E02000045,Barnet 022,0.0,18,-0.5879035741971198,0.07,Not Significant
E02000046,Barnet 023,8.86,79,-0.040326053598681195,0.456,Not Significant
E02000047,Barnet 024,16.67,48,0.7030426373045795,0.06,Not Significant
E02000048,Barnet 025,7.41,27,0.44891416301376014,0.063,Not Significant
E02000049,Barnet 026,28.57,7,1.403350025865881,0.055,Not Significant
E02000050,Barnet 027,0.0,36,-0.3726881705237593,0.303,Not Significant
E02000051,Barnet 028,11.36,44,0.10680431444471451,0.418,Not Significant
E02000052,Barnet 029,3.57,56,-0.7079803219006767,0.03,Cold Spot
E02000054,Barnet 031,7.14,14,0.5076341207527957,0.095,Not Significant
E02000055,Barnet 032,8.85,113,0.19910586615984535,0.294,Not Significant
E02000056,Barnet 033,4.17,24,-0.010019876358013045,0.408,Not Significant
E02000057,Barnet 034,5.56,18,0.19447028926589008,0.248,Not Significant
E02000058,Barnet 035,4.76,42,0.1347763037918465,0.274,Not Significant
E02000059,Barnet 036,4.55,44,-0.2850543872087918,0.224,Not Significant
E02000060,Barnet 037,4.0,25,0.3840916233431452,0.101,Not Significant
E02000061,Barnet 038,10.98,82,0.1452610166251082,0.373,Not Significant
E02000062,Barnet 039,7.45,94,0.08901091492841313,0.349,Not Significant
E02000063,Barnet 040,16.67,6,0.5685525982365638,0.223,Not Significant
E02000064,Barnet 041,10.34,29,0.2872255590024811,0.259,Not Significant
E02000065,Bexley 001,25.0,8,0.1892661982245633,0.179,Not Significant
E02000066,Bexley 002,0.0,8,0.3657971296264358,0.088,Not Significant
E02000067,Bexley 003,8.2,61,0.7823795154346118,0.039,Hot Spot
E02000068,Bexley 004,16.33,49,-0.19399980081903984,0.077,Not Significant
E02000069,Bexley 005,0.0,9,0.34079708442790463,0.094,Not Significant
E02000070,Bexley 006,18.18,11,-0.16090450288955585,0.11,Not Significant
E02000071,Bexley 007,7.69,39,-0.1969589898425394,0.312,Not Significant
E02000072,Bexley 008,0.0,23,-0.26838769040977106,0.448,Not Significant
E02000073,Bexley 009,3.7,27,-0.22944204176716143,0.306,Not Significant
E02000074,Bexley 010,0.0,11,-0.2978520293937541,0.344,Not Significant
E02000075,Bexley 011,0.0,18,-0.0971774683358656,0.387,Not Significant
E02000077,Bexley 013,0.0,17,-0.18542835675097194,0.41,Not Significant
E02000078,Bexley 014,3.45,29,-0.45083699985864273,0.2,Not Significant
E02000079,Bexley 015,0.75,133,-0.6556332884849773,0.061,Not Significant
E02000080,Bexley 016,10.0,100,-0.2653264603854613,0.183,Not Significant
E02000081,Bexley 017,5.0,20,-0.672907372193583,0.012,Cold Spot
E02000082,Bexley 018,3.57,28,-0.4918574821843959,0.062,Not Significant
E02000083,Bexley 019,1.35,74,-0.6926741717791272,0.062,Not Significant
E02000084,Bexley 020,0.0,16,-0.5947913417518171,0.064,Not Significant
E02000085,Bexley 021,1.96,51,-0.5487453401361555,0.113,Not Significant
E02000086,Bexley 022,0.0,14,-0.7511873971009368,0.017,Cold Spot
E02000087,Bexley 023,1.89,53,-0.660881111383794,0.031,Cold Spot
E02000088,Bexley 024,0.0,17,-0.6713220923595653,0.026,Cold Spot
E02000089,Bexley 025,0.0,12,-0.859970392607665,0.013,Cold Spot
E02000090,Bexley 026,3.33,90,-0.8038842853765579,0.005,Cold Spot
E02000091,Bexley 027,3.12,32,-0.43139818920427486,0.19,Not Significant
E02000092,Bexley 028,4.0,25,-0.468132949495994,0.134,Not Significant
E02000093,Brent 001,11.11,36,-0.04147401485779763,0.397,Not Significant
E02000094,Brent 002,0.0,72,0.24130710863783236,0.121,Not Significant
E02000095,Brent 003,11.11,81,-0.28694639743215006,0.136,Not Significant
E02000096,Brent 004,10.0,20,-0.16146329884637414,0.289,Not Significant
E02000097,Brent 005,0.0,38,-0.4251663995119294,0.241,Not Significant
E02000098,Brent 006,0.0,19,0.03226882983495411,0.268,Not Significant
E02000099,Brent 007,7.14,42,-0.03139746602777734,0.48,Not Significant
E02000100,Brent 008,0.0,24,0.22695759289887904,0.136,Not Significant
E02000101,Brent 009,8.11,37,-0.5045397208565369,0.043,Cold Spot
E02000102,Brent 010,0.0,14,-0.506398324799868,0.125,Not Significant
E02000103,Brent 011,0.0,34,-0.38012258629708345,0.285,Not Significant
E02000104,Brent 012,8.33,12,-0.016006281738885915,0.484,Not Significant
E02000105,Brent 013,10.34,58,0.32600113931040675,0.237,Not Significant
E02000106,Brent 014,6.56,61,-0.4269156738115352,0.101,Not Significant
E02000107,Brent 015,7.27,55,-0.4964493272208609,0.062,Not Significant
E02000108,Brent 016,14.29,7,0.6703895170452738,0.106,Not Significant
E02000110,Brent 018,0.0,17,-0.33223620234537804,0.341,Not Significant
E02000111,Brent 019,9.72,72,0.6926472103470273,0.052,Not Significant
E02000112,Brent 020,6.32,95,-0.11111699791084836,0.426,Not Significant
E02000113,Brent 021,0.0,16,-0.32463779210646593,0.31,Not Significant
E02000114,Brent 022,2.94,68,-0.5105309853326865,0.154,Not Significant
E02000115,Brent 023,0.0,15,-0.5177078690563465,0.083,Not Significant
E02000116,Brent 024,11.25,80,-0.2722142279401586,0.143,Not Significant
E02000117,Brent 025,5.88,51,-0.15078543697586463,0.405,Not Significant
E02000118,Brent 026,12.7,63,0.4558483128415531,0.176,Not Significant
E02000119,Brent 027,1.85,54,0.2855036171138068,0.128,Not Significant
E02000120,Brent 028,3.8,79,-0.11966293172871377,0.49,Not Significant
E02000121,Brent 029,6.82,88,0.911497824674256,0.019,Hot Spot
E02000122,Brent 030,0.0,14,-0.45053087685621196,0.246,Not Significant
E02000123,Brent 031,5.59,143,0.08124851022391308,0.336,Not Significant
E02000124,Brent 032,2.25,89,-0.05172063202250162,0.43,Not Significant
E02000125,Brent 033,2.94,34,-0.2570174074623339,0.355,Not Significant
E02000126,Brent 034,7.14,28,0.637736396785968,0.054,Not Significant
E02000127,Bromley 001,0.0,27,-0.6311434482904975,0.064,Not Significant
E02000128,Bromley 002,0.0,35,-0.780569738852126,0.007,Cold Spot
E02000130,Bromley 004,2.99,67,-0.5025717872694805,0.086,Not Significant
E02000131,Bromley 005,8.57,35,-0.16698444585450464,0.302,Not Significant
E02000132,Bromley 006,0.0,88,-0.8015519196437505,0.021,Cold Spot
E02000133,Bromley 007,5.26,19,-0.48318399711551774,0.051,Not Significant
E02000134,Bromley 008,2.17,92,-0.47685745506527716,0.216,Not Significant
E02000135,Bromley 009,5.56,54,-0.18945168764006498,0.369,Not Significant
E02000136,Bromley 010,0.0,21,-0.5356713369073317,0.102,Not Significant
E02000137,Bromley 011,0.0,8,-0.731016077833609,0.019,Cold Spot
E02000138,Bromley 012,0.0,19,-0.7910927170606914,0.007,Cold Spot
E02000139,Bromley 013,0.0,31,-0.8015519196437505,0.021,Cold Spot
E02000140,Bromley 014,9.68,31,-0.5163473223788754,0.033,Cold Spot
E02000141,Bromley 015,0.0,15,-0.5143065023626687,0.18,Not Significant
E02000142,Bromley 016,9.52,21,-0.2913469155920954,0.164,Not Significant
E02000144,Bromley 018,3.6,111,-0.47808194707500107,0.112,Not Significant
E02000145,Bromley 019,0.0,38,-0.34083680098510616,0.347,Not Significant
E02000146,Bromley 020,6.06,33,-0.37195930623225715,0.17,Not Significant
E02000147,Bromley 021,0.0,8,-0.8071641746883185,0.012,Cold Spot
E02000148,Bromley 022,3.28,61,-0.41751332445115463,0.17,Not Significant
E02000149,Bromley 023,0.0,20,-0.4704288720142263,0.198,Not Significant
E02000150,Bromley 024,0.0,27,-0.6764879180255884,0.032,Cold Spot
E02000151,Bromley 025,0.0,3,-0.7140153182343163,0.029,Cold Spot
E02000152,Bromley 026,0.0,7,-0.6326740633026525,0.064,Not Significant
E02000153,Bromley 027,0.0,4,-0.6291755147034411,0.064,Not Significant
E02000154,Bromley 028,2.02,99,-0.5139420702169173,0.11,Not Significant
E02000155,Bromley 029,10.0,10,-0.4421124942893596,0.058,Not Significant
E02000156,Bromley 030,2.7,74,-0.5674315984095472,0.052,Not Significant
E02000157,Bromley 031,0.0,9,-0.7887967945424589,0.007,Cold Spot
E02000158,Bromley 032,7.69,13,-0.3415510879907783,0.172,Not Significant
E02000159,Bromley 033,2.86,35,-0.8188988897815067,0.007,Cold Spot
E02000160,Bromley 034,2.08,48,-0.4656669586430776,0.094,Not Significant
E02000161,Bromley 035,0.0,14,-0.697214996315187,0.057,Not Significant
E02000162,Bromley 036,0.0,15,-0.8719602102028788,0.009,Cold Spot
E02000163,Bromley 037,0.0,31,-0.5581112462819606,0.108,Not Significant
E02000165,Bromley 039,0.0,10,-0.9449195257822652,0.001,Cold Spot
E02000166,Camden 001,11.32,53,0.1521913012634763,0.371,Not Significant
E02000167,Camden 002,6.06,99,0.18270641960104217,0.25,Not Significant
E02000168,Camden 003,8.64,81,0.17906209814353025,0.319,Not Significant
E02000169,Camden 004,0.0,13,0.06419308580275783,0.239,Not Significant
E02000170,Camden 005,2.86,35,-0.1579920826580944,0.452,Not Significant
E02000171,Camden 006,10.34,29,0.5918179464213188,0.069,Not Significant
E02000172,Camden 007,15.05,93,0.5131826001718574,0.139,Not Significant
E02000173,Camden 008,8.7,69,0.26142376308329746,0.233,Not Significant
E02000174,Camden 009,2.56,39,0.37542724907791064,0.09,Not Significant
E02000175,Camden 010,7.21,111,-0.017148169128906172,0.48,Not Significant
E02000176,Camden 011,14.29,21,0.4433482902422874,0.259,Not Significant
E02000177,Camden 012,11.11,54,0.6055934815307137,0.118,Not Significant
E02000178,Camden 013,6.0,50,-0.023926607039878017,0.46,Not Significant
E02000179,Camden 014,3.45,29,0.5464097010607215,0.058,Not Significant
E02000180,Camden 015,12.12,33,0.4124808874971621,0.196,Not Significant
E02000181,Camden 016,9.09,11,0.40294005392139637,0.183,Not Significant
E02000182,Camden 017,8.57,35,0.3271746108197258,0.149,Not Significant
E02000183,Camden 018,10.7,187,0.34902414011823757,0.195,Not Significant
E02000184,Camden 019,6.49,77,0.4122986714242866,0.111,Not Significant
E02000185,Camden 020,13.16,38,0.16368306159283047,0.42,Not Significant
E02000186,Camden 021,7.26,248,0.10156195802808397,0.339,Not Significant
E02000187,Camden 022,7.89,190,0.3805930747439338,0.113,Not Significant
E02000188,Camden 023,9.41,85,0.36283794060293617,0.213,Not Significant
E02000191,Camden 026,6.82,308,0.30865416917265076,0.167,Not Significant
E02000192,Camden 027,10.7,187,0.23518464858921223,0.32,Not Significant
E02000193,Camden 028,8.85,531,0.2334353742896068,0.251,Not Significant
E02000194,Croydon 001,4.84,62,-0.008401797630877578,0.409,Not Significant
E02000195,Croydon 002,6.9,29,-0.35956861327671674,0.145,Not Significant
E02000196,Croydon 003,2.33,43,0.11197014011073751,0.235,Not Significant
E02000197,Croydon 004,10.53,57,-0.07495621824868746,0.371,Not Significant
E02000198,Croydon 005,5.88,34,0.040605215169012394,0.371,Not Significant
E02000199,Croydon 006,5.26,38,-0.11647415045339088,0.496,Not Significant
E02000200,Croydon 007,4.26,47,-0.10716290912944815,0.451,Not Significant
E02000201,Croydon 008,8.33,60,-0.32246942083924657,0.154,Not Significant
E02000202,Croydon 009,15.79,19,0.14903288933363298,0.496,Not Significant
E02000203,Croydon 010,6.25,64,0.006685693203221235,0.425,Not Significant
E02000204,Croydon 011,5.8,69,0.24589895367429712,0.202,Not Significant
E02000206,Croydon 013,2.63,38,-0.015644886527682676,0.371,Not Significant
E02000207,Croydon 014,6.25,32,-0.5341407218951768,0.039,Cold Spot
E02000208,Croydon 015,3.45,29,0.4219196800721178,0.081,Not Significant
E02000209,Croydon 016,11.11,18,-0.03675461857031986,0.385,Not Significant
E02000210,Croydon 017,0.0,15,-0.3057346967063522,0.459,Not Significant
E02000211,Croydon 018,0.0,11,-0.6698461421692731,0.048,Cold Spot
E02000212,Croydon 019,12.68,71,0.35967466957781574,0.242,Not Significant
E02000213,Croydon 020,13.73,102,0.2200971577551135,0.365,Not Significant
E02000214,Croydon 021,0.0,37,0.0816858287988144,0.22,Not Significant
E02000215,Croydon 022,12.0,50,0.2476482279739028,0.303,Not Significant
E02000216,Croydon 023,25.0,4,0.09379408684139742,0.237,Not Significant
E02000217,Croydon 024,7.61,92,0.07665666518744813,0.375,Not Significant
E02000218,Croydon 025,5.0,20,-0.5086942473181004,0.134,Not Significant
E02000219,Croydon 026,3.7,27,-0.16090450288955577,0.393,Not Significant
E02000221,Croydon 028,0.0,35,-0.21260527663345674,0.405,Not Significant
E02000222,Croydon 029,0.0,28,0.006904352490671996,0.281,Not Significant
E02000223,Croydon 030,0.0,6,-0.07935673640863308,0.295,Not Significant
E02000224,Croydon 031,6.12,49,-0.6244087422370157,0.037,Cold Spot
E02000225,Croydon 032,14.29,7,-0.3678776661998439,0.033,Cold Spot
E02000226,Croydon 033,3.45,29,-0.10526786197154181,0.486,Not Significant
E02000227,Croydon 034,6.25,16,-0.392707643063691,0.091,Not Significant
E02000228,Croydon 035,0.0,21,-0.640545797650878,0.06,Not Significant
E02000229,Croydon 036,0.0,42,-0.3161428787890058,0.441,Not Significant
E02000230,Croydon 037,4.35,69,-0.329102085891918,0.165,Not Significant
E02000231,Croydon 038,10.0,10,-0.023795411467407702,0.435,Not Significant
E02000232,Croydon 039,0.0,13,-0.6479802134242022,0.112,Not Significant
E02000233,Croydon 040,0.0,11,-0.5849188749234175,0.162,Not Significant
E02000234,Croydon 041,7.41,54,-0.38981648137406505,0.12,Not Significant
E02000235,Croydon 042,0.0,7,-0.8339499374010305,0.015,Cold Spot
E02000236,Croydon 043,0.0,12,-0.1569589175248896,0.383,Not Significant
E02000237,Croydon 044,0.0,23,-0.7180823809808996,0.067,Not Significant
E02000238,Ealing 001,5.88,34,0.3029690276989322,0.151,Not Significant
E02000239,Ealing 002,17.07,41,0.5732804979407753,0.106,Not Significant
E02000240,Ealing 003,0.0,12,0.07561803357205715,0.23,Not Significant
E02000241,Ealing 004,3.33,30,-0.20379573689683145,0.458,Not Significant
E02000242,Ealing 005,15.38,26,0.7762570553859922,0.147,Not Significant
E02000243,Ealing 006,2.5,40,0.3693685646547973,0.089,Not Significant
E02000244,Ealing 007,5.71,35,0.9424988525394896,0.006,Hot Spot
E02000245,Ealing 008,0.0,12,0.2633916966703539,0.116,Not Significant
E02000246,Ealing 009,5.0,20,0.31605214173139945,0.138,Not Significant
E02000247,Ealing 010,12.5,32,0.29045685736147475,0.241,Not Significant
E02000248,Ealing 011,17.5,40,0.6872900578044849,0.081,Not Significant
E02000249,Ealing 012,9.46,74,1.2122272313481315,0.006,Hot Spot
E02000250,Ealing 013,16.0,25,1.572942169212651,0.001,Hot Spot
E02000251,Ealing 014,17.65,17,1.4760032184428367,0.003,Hot Spot
E02000252,Ealing 015,14.47,159,0.5355253276409531,0.108,Not Significant
E02000253,Ealing 016,0.0,11,0.8624306805703165,0.012,Hot Spot
E02000254,Ealing 017,10.53,19,1.8586569714815782,0.001,Hot Spot
E02000255,Ealing 018,30.0,10,1.527980353230599,0.001,Hot Spot
E02000256,Ealing 019,19.23,26,1.5611345676903132,0.001,Hot Spot
E02000258,Ealing 021,7.69,13,0.9753900684673532,0.023,Hot Spot
E02000259,Ealing 022,20.83,24,1.3455365102639136,0.006,Hot Spot
E02000260,Ealing 023,23.14,121,2.1882494040989466,0.001,Hot Spot
E02000261,Ealing 024,14.0,50,0.2617153087998981,0.291,Not Significant
E02000262,Ealing 025,10.74,121,1.055156976529372,0.009,Hot Spot
E02000263,Ealing 026,29.41,68,2.2248140960559812,0.001,Hot Spot
E02000264,Ealing 027,19.57,46,0.7618862811052042,0.047,Hot Spot
E02000265,Ealing 028,17.14,105,2.002024577620093,0.001,Hot Spot
E02000266,Ealing 029,21.62,37,2.077766829585215,0.001,Hot Spot
E02000267,Ealing 030,20.34,59,2.2239637543825626,0.001,Hot Spot
E02000268,Ealing 031,17.78,45,1.2553395541904964,0.01,Hot Spot
E02000269,Ealing 032,14.52,62,1.4459011232037895,0.001,Hot Spot
E02000270,Ealing 033,16.67,48,1.2016586991213472,0.008,Hot Spot
E02000271,Ealing 034,8.33,36,0.7663080578069852,0.029,Hot Spot
E02000272,Ealing 035,14.29,21,1.175556246681918,0.002,Hot Spot
E02000275,Ealing 038,33.33,39,1.6963097391923412,0.029,Hot Spot
E02000276,Ealing 039,18.92,37,0.7499086112481818,0.075,Not Significant
E02000277,Enfield 001,5.88,17,0.4591646453678885,0.142,Not Significant
E02000278,Enfield 002,10.53,57,0.4157972200234981,0.202,Not Significant
E02000279,Enfield 003,11.11,36,0.5247259883885261,0.113,Not Significant
E02000280,Enfield 004,4.62,65,0.4457292469278618,0.063,Not Significant
E02000281,Enfield 005,17.39,23,0.8604408810545153,0.056,Not Significant
E02000282,Enfield 006,12.31,65,0.7655427503009075,0.031,Hot Spot
E02000283,Enfield 007,6.67,15,0.631613936737348,0.09,Not Significant
E02000284,Enfield 008,9.21,76,0.5152871958135707,0.121,Not Significant
E02000285,Enfield 009,11.11,9,0.6624813394824732,0.069,Not Significant
E02000286,Enfield 010,11.76,17,-0.011499470869762916,0.388,Not Significant
E02000287,Enfield 011,4.84,62,-0.4028631521919571,0.152,Not Significant
E02000288,Enfield 012,15.66,83,1.267839576789762,0.006,Hot Spot
E02000289,Enfield 013,0.0,7,-0.0847138889511753,0.378,Not Significant
E02000290,Enfield 014,11.11,27,0.7485966555234772,0.033,Hot Spot
E02000291,Enfield 015,11.0,100,0.46587019684971076,0.121,Not Significant
E02000292,Enfield 016,9.68,31,1.0848460486699012,0.002,Hot Spot
E02000293,Enfield 017,0.0,19,0.22315838777942332,0.122,Not Significant
E02000294,Enfield 018,20.59,34,0.8404335562527753,0.059,Not Significant
E02000295,Enfield 019,11.76,17,-0.30053060566502543,0.11,Not Significant
E02000296,Enfield 020,6.36,110,-0.23471416014236174,0.269,Not Significant
E02000297,Enfield 021,11.76,34,0.21834788345550754,0.302,Not Significant
E02000298,Enfield 022,7.14,56,0.005811056053418397,0.462,Not Significant
E02000299,Enfield 023,15.91,44,0.8374816558721907,0.056,Not Significant
E02000300,Enfield 024,6.25,16,0.6221751441623924,0.049,Hot Spot
E02000301,Enfield 025,8.7,23,0.7385018850861698,0.038,Hot Spot
E02000302,Enfield 026,5.88,17,0.5216283151496415,0.058,Not Significant
E02000303,Enfield 027,9.09,33,0.5305933459351203,0.076,Not Significant
E02000304,Enfield 028,0.0,24,0.3050189585187824,0.093,Not Significant
E02000305,Enfield 029,6.94,72,0.26962348636269884,0.208,Not Significant
E02000306,Enfield 030,8.74,103,0.4906060287425719,0.084,Not Significant
E02000307,Enfield 031,11.11,27,0.6233486156717113,0.105,Not Significant
E02000308,Enfield 032,11.11,36,0.19691927328533815,0.344,Not Significant
E02000309,Enfield 033,14.29,98,0.23575862921877025,0.344,Not Significant
E02000311,Enfield 035,15.15,33,0.3339093168732075,0.253,Not Significant
E02000312,Enfield 036,12.5,56,0.08633233865714197,0.479,Not Significant
E02000313,Greenwich 001,0.0,8,-0.06175466376885083,0.311,Not Significant
E02000314,Greenwich 002,3.85,26,0.09181704245069713,0.291,Not Significant
E02000315,Greenwich 003,0.0,25,-0.1872650947655579,0.491,Not Significant
E02000317,Greenwich 005,6.67,15,0.17549066311516867,0.308,Not Significant
E02000318,Greenwich 006,4.29,70,-0.33343882842635714,0.247,Not Significant
E02000319,Greenwich 007,7.5,40,-0.32086591939794123,0.162,Not Significant
E02000320,Greenwich 008,8.33,12,-0.06481589379316079,0.415,Not Significant
E02000321,Greenwich 009,0.0,8,-0.15726504052732052,0.399,Not Significant
E02000323,Greenwich 011,5.33,75,-0.4378486381840706,0.106,Not Significant
E02000324,Greenwich 012,17.65,34,-0.09630283118606298,0.167,Not Significant
E02000326,Greenwich 014,6.67,15,-0.06277507377695427,0.466,Not Significant
E02000327,Greenwich 015,0.0,18,-0.28273720614872383,0.339,Not Significant
E02000328,Greenwich 016,6.25,16,-0.5859903054319263,0.028,Cold Spot
E02000329,Greenwich 017,0.0,13,-0.47706153706689786,0.1,Not Significant
E02000331,Greenwich 019,0.0,13,-0.2764780840454472,0.384,Not Significant
E02000332,Greenwich 020,0.0,17,-0.8089498922024995,0.015,Cold Spot
E02000333,Greenwich 021,0.0,21,-0.7301961055056688,0.024,Cold Spot
E02000334,Greenwich 022,0.0,6,-0.7977891577388693,0.005,Cold Spot
E02000335,Greenwich 023,0.0,12,-0.729485462821454,0.017,Cold Spot
E02000337,Greenwich 025,7.69,13,-0.7767705337326699,0.001,Cold Spot
E02000339,Greenwich 027,0.0,66,-0.6506587896954733,0.168,Not Significant
E02000340,Greenwich 028,0.0,81,-0.7534225809282109,0.008,Cold Spot
E02000341,Greenwich 029,0.0,14,-0.7977891577388693,0.005,Cold Spot
E02000342,Greenwich 030,0.0,28,-0.853847932559045,0.008,Cold Spot
E02000343,Greenwich 031,0.0,21,-0.9449195257822655,0.001,Cold Spot
E02000344,Greenwich 032,0.0,12,-0.9449195257822655,0.001,Cold Spot
E02000345,Hackney 001,20.0,25,0.44845034028280395,0.359,Not Significant
E02000346,Hackney 002,0.0,17,-0.5035921972775841,0.19,Not Significant
E02000347,Hackney 003,0.0,12,-0.2880670262803348,0.37,Not Significant
E02000348,Hackney 004,0.0,13,0.691089262923941,0.019,Hot Spot
E02000350,Hackney 006,2.86,35,0.2572255047642437,0.158,Not Significant
E02000351,Hackney 007,4.88,41,-0.26313986751095403,0.271,Not Significant
E02000352,Hackney 008,0.0,10,-0.4284462888236901,0.221,Not Significant
E02000353,Hackney 009,6.19,97,-0.3542934579669683,0.139,Not Significant
E02000354,Hackney 010,15.22,46,0.21715740511272044,0.373,Not Significant
E02000355,Hackney 011,4.76,42,0.17319474059693624,0.236,Not Significant
E02000356,Hackney 012,3.03,33,-0.3150714482804976,0.285,Not Significant
E02000357,Hackney 013,0.0,11,0.3582078301911675,0.074,Not Significant
E02000358,Hackney 014,3.57,84,-0.18975234416030978,0.372,Not Significant
E02000359,Hackney 015,10.26,39,-0.24389785021529176,0.189,Not Significant
E02000360,Hackney 016,7.14,42,0.04600063308685869,0.422,Not Significant
E02000361,Hackney 017,5.26,114,0.1848656800646177,0.225,Not Significant
E02000362,Hackney 018,4.17,48,-0.2106616385227837,0.35,Not Significant
E02000363,Hackney 019,3.03,33,0.2729398188890345,0.129,Not Significant
E02000364,Hackney 020,1.18,85,-0.3254030996125434,0.268,Not Significant
E02000366,Hackney 022,12.82,39,-0.0033361908049366258,0.357,Not Significant
E02000367,Hackney 023,12.2,123,-0.20716308992357257,0.151,Not Significant
E02000368,Hackney 024,0.0,36,-0.26322186474374804,0.366,Not Significant
E02000369,Hackney 025,6.25,64,-0.36902562745895995,0.132,Not Significant
E02000370,Hackney 026,3.45,29,-0.11609149670035213,0.5,Not Significant
E02000372,Hammersmith and Fulham 001,4.95,101,-0.23203558387109074,0.214,Not Significant
E02000373,Hammersmith and Fulham 002,8.33,12,-0.3935154676534394,0.132,Not Significant
E02000374,Hammersmith and Fulham 003,0.0,11,-0.072906287428837,0.363,Not Significant
E02000375,Hammersmith and Fulham 004,1.13,177,-0.5761943693541344,0.034,Cold Spot
E02000376,Hammersmith and Fulham 005,9.68,124,-0.46405130946358086,0.047,Cold Spot
E02000377,Hammersmith and Fulham 006,1.79,56,-0.2513322659886157,0.366,Not Significant
E02000378,Hammersmith and Fulham 007,0.0,44,-0.5718867813913554,0.094,Not Significant
E02000379,Hammersmith and Fulham 008,0.0,8,-0.28241832802119166,0.421,Not Significant
E02000380,Hammersmith and Fulham 009,6.25,16,-0.5458663261847209,0.042,Cold Spot
E02000381,Hammersmith and Fulham 010,0.0,60,-0.7273170915542347,0.042,Cold Spot
E02000382,Hammersmith and Fulham 011,0.0,75,-0.7170765482586263,0.027,Cold Spot
E02000383,Hammersmith and Fulham 012,1.75,57,-0.8108813825749804,0.006,Cold Spot
E02000384,Hammersmith and Fulham 013,0.53,188,-0.5648896841929326,0.09,Not Significant
E02000385,Hammersmith and Fulham 014,3.85,26,-0.701551738849626,0.015,Cold Spot
E02000386,Hammersmith and Fulham 015,0.0,52,-0.7153272739590206,0.028,Cold Spot
E02000387,Hammersmith and Fulham 016,0.0,18,-0.482673792111466,0.269,Not Significant
